"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
".@GISTNetwork Catalyst Grand Champion Ajaita Shah created @FrontierMkts, a startup that empowers women through the… https://t.co/8A9EWh0bMe"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @ManushiChhillar: I am here to speak &amp; interact at the Global Entrepreneurship summit #GES2017 ! Very relevant in today's world that we…
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @TripleTASD: Thks @WIONews @ArchithNEWS for cool #GES2017 shoutout #ThinkVR https://t.co/BKK7IgVqrz - #USwithAUS + #India #autism #Litte…
#Boycott #Dotard👉🏽🧓@realDonaldTrump🤥@Trump @TrumpGolf &amp; @IvankaTrump @IvankaTrumpHQ👈NOT made in USA #Products… https://t.co/HzIw6yCUzH
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @USEmbPhnomPenh: Join with the entrepreneurs who participated in the #GES2017 in #India on a Facebook Live, “Diversity in Business: Tool…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @SajidCKP: @IvankaTrump @StateDept #GES2017 Can U allow a #woman basher in #GES2017 Summit? @IvankaTrump @ncbn @trspartyonline @tkrisher…
"RT @SajidCKP: @IvankaTrump @StateDept #HyderabadMetroRail A majority of the delegates attending at #GES2017 are going to be #Women, includi…"
RT @SajidCKP: @IvankaTrump @StateDept #GES2017 Can @StateDept @WhiteHouse will allow #Woman abusers to get #US entry including his party ch…
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
An honest and insightful take on #GES2017 &amp; the entrepreneurship ecosystem of Hyderabad from @DrewDiPrinzio9  https://t.co/1Vwkr4QFlu
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RTStateDept: RT GES2017: .IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prospe… https://t.co/zSUDwxHAOU"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @DIPPGOI: Thank you @LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solutions have reduced the tim…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
Successful #entrepreneurs need good mentors &amp; strong networks. Get the scoop on the “Tools for Success” you need to… https://t.co/2MdJKIeda1
RT @PMOIndia: India- a land of innovation. @GES2017 #GES2017 https://t.co/5kxi48vjMY
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @Krishna50911026: @hydcitypolice sir, #GES2017 is done and u left beggers on road again..!!???? Beggers  #Khairtabad_Junction @KTRTRS @C…"
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
RT @statedeptspox: #GES2017 highlights the important role of women #entrepreneurs &amp; demonstrates the importance of #innovation &amp; partnershi…
"RT @IvankaTrump: Thank you for the warm welcome. I’m excited to be in Hyderabad, India for #GES2017. https://t.co/1U08h5L9Rm"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"Congratulations @Ajaita_Shah fm #India &amp; @BarefootCollege She is founder of @FrontierMkts, a startup empowering wom… https://t.co/mLnwUdzfDu"
"RT @NITIAayog: Meet Tessy Thomas, our #GES2017 speaker also known as the 'Missile Woman' of India. She is the first woman scientist to head…"
RT @ramonray: Great conversation today with @JimBlasingame about #GES2017 @IvankaTrump and the great work of @StateDept around the world
Great conversation today with @JimBlasingame about #GES2017 @IvankaTrump and the great work of @StateDept around the world
"RT @GES2017: .@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just think how much…"
"RT @IvankaTrump: At #GES2017 today discussing the importance of workforce development and skills training. Together, we can ensure our soci…"
".@IvankaTrump: #GES2017 focused on a theme which is key to our future - Women First, Prosperity for All...just thin… https://t.co/PcFaiNhc6n"
"Congratulations Ajaita Shah from #India! She is the founder of @FrontierMkts, a startup empowering women with solar… https://t.co/cOihHY9Gg1"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @DIPPGOI: Thank you Agrostar for being a part of the #GES2017 DIPP Innovation Showcase. Your work using technology to provide a fair sha…
"Just another #iPhone shot... Clicked some time during the recent #GES2017 in #Hyderabad... 

#ShotoniPhone #iPhoneSE https://t.co/FhmGtaXOmk"
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
RT @USAndChennai: #GES2017 Chennai brought together many talented #womenentrepreneurs! Hear from them and #CGChennai on the theme #WomenFir…
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @USAndChennai: ICYMI: #GES2017 Chennai brought together many talented #womenentrepreneurs! Hear from them and Consul General Robert Burg…
RT @GES2017: He was a monk for seventeen years. She came from a corporate background. Now they're both #entrepreneurs at #GES2017 https://t…
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @DIPPGOI: Thank you @ekgaon for being at DIPP Innovation Showcase at #GES2017. Your efforts in making IT-enabled social services more ac…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
RT @ManushiChhillar: I am here to speak &amp; interact at the Global Entrepreneurship summit #GES2017 ! Very relevant in today's world that we…
RT @ManushiChhillar: Privileged to be a part of this summit. Thank you for having me :) #GES2017 https://t.co/V8i0tJIwu2
RT @Scavino45: .@IvankaTrump at @GES2017 in India with Prime Minister @narendramodi. #GES2017 https://t.co/0bTDFfkQLy
#RoadAfterGES #reboot - #STEM #social impact #Gandhi  #schools #solar - helping #India to grow - #GES2017… https://t.co/E7FBvUc7UO
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @TripleTASD: Thks @NITIAayog @amitabhk87 @narendramodi @IvankaTrump 4 #cool #GES2017 moments - #India + #Australia entrepreneurs and gov…
RT @TripleTASD: Thks @NITIAayog @amitabhk87 @narendramodi @IvankaTrump 4 #cool #GES2017 moments - #India + #Australia entrepreneurs and gov…
Thks @NITIAayog @amitabhk87 @narendramodi @IvankaTrump 4 #cool #GES2017 moments - #India + #Australia entrepreneurs… https://t.co/YUCn8Vy1GC
@DIPPGOI Thank you so much. It was an honour to be a part of #GES2017 .Thanks All !
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"Throwback to the grand welcome of the delegates of Global Entrepreneurship Summit, 2017 by RGIA. @GES2017 #GES2017… https://t.co/8gmVsNFhWW"
RT @ScoringCard: #GES2017 @Roger_ZOUNDI  pitching time.Thanks @IvankaTrump thanks @GES2017 thanks @GISTNetwork thanks @PMOIndia https://t.c…
RT @DIPPGOI: Thank you @LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solutions have reduced the tim…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
RT @DIPPGOI: Thank you Agrostar for being a part of the #GES2017 DIPP Innovation Showcase. Your work using technology to provide a fair sha…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"What a gesture, thank you @DIPPGOI for organizing such a prophetic event as #GES2017 and involving @LegalDeskIndia… https://t.co/1ywiDOcFqY"
#GES2017 @Roger_ZOUNDI  pitching time.Thanks @IvankaTrump thanks @GES2017 thanks @GISTNetwork thanks @PMOIndia https://t.co/h6Y6zCyzFZ
"RT @rishibagree: First NDTV as Media partner.
Now a soft porn writer Shobhaa De as main speaker speaking on economy in #GES2017 reducing th…"
RT @DIPPGOI: Thank you Agrostar for being a part of the #GES2017 DIPP Innovation Showcase. Your work using technology to provide a fair sha…
RT DIPPGOI: Thank you LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solution… https://t.co/6Ghbnk1bEV
RT DIPPGOI: Thank you Agrostar for being a part of the #GES2017 DIPP Innovation Showcase. Your work using technolog… https://t.co/JjPjOpqWHb
RT DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts toward… https://t.co/hNb5gdwsIu
RT DIPPGOI: Thank you ekgaon for being at DIPP Innovation Showcase at #GES2017. Your efforts in making IT-enabled s… https://t.co/Vp19VvUjaT
RT @DIPPGOI: Thank you @LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solutions have reduced the tim…
RT @DIPPGOI: Thank you @LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solutions have reduced the tim…
RT @DIPPGOI: Thank you Agrostar for being a part of the #GES2017 DIPP Innovation Showcase. Your work using technology to provide a fair sha…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
RT @DIPPGOI: Thank you @ekgaon for being at DIPP Innovation Showcase at #GES2017. Your efforts in making IT-enabled social services more ac…
"RT @swarupds: #GES2017 #Save_CGL_16 
@HRDMinistry @narendramodi @PMOIndia @smritiirani @DoPTGoI  @aajtaknews @aajtak @ndtv 
It's a request…"
Thank you @ekgaon for being at DIPP Innovation Showcase at #GES2017. Your efforts in making IT-enabled social servi… https://t.co/oxOHc5QWox
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @DIPPGOI: Thank you @LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solutions have reduced the tim…
RT @DIPPGOI: Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making power accessib…
#day3 #GES2017 highlight - @TripleTASD + @MelzoExp form awesome #India #Australia to bring #vr to 1Billion users… https://t.co/60Ttj6PLoi
"RT @NITIAayog: Meet Tessy Thomas, our #GES2017 speaker also known as the 'Missile Woman' of India. She is the first woman scientist to head…"
RT @GES2017: .@TelanganaCMO K. Chandrasekhar Rao delivers a welcome address at the opening plenary of #GES2017. https://t.co/9vhzpMZv8C
"RT @IvankaTrump: At #GES2017 today discussing the importance of workforce development and skills training. Together, we can ensure our soci…"
Thank you Mera Gao Power for being a part of our #GES2017 DIPP Innovation Showcase. Your efforts towards making pow… https://t.co/LsNSNF4xcj
Thank you Agrostar for being a part of the #GES2017 DIPP Innovation Showcase. Your work using technology to provide… https://t.co/6v6TZonu5T
Thank you @LegalDeskIndia for being a part of DIPPs Innovation Showcase at #GES2017. Your smart solutions have redu… https://t.co/zwPM28ESUc
"Join with the entrepreneurs who participated in the #GES2017 in #India on a Facebook Live, “Diversity in Business:… https://t.co/J40v8zG0xv"
RT @AnzFunzTech: #Mersal #Thalapathy #Vijay #Vijay62 #Thalapathy62 #Viswasam #Velaikkaran #AnushkaShetty #RAW #wwe #GES2017 #SakkaPoduPoduR…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @PreetiSinha_: Excited to be #GES2017 raising the flag for Indian Women Entrepreneurs supporting and funding via @yesglobalinsti @Narend…
RT @PreetiSinha_: The 800 million potential entrepreneurs in India can make the world a better place @Narendramodi_PM #ges2017 @YESGlobalIn…
RT @YESGlobalInsti: India is truly an inspiration for all of us across the world: Senior Advisor to US President @IvankaTrump #GES2017 http…
RT @YESBANK: YES BANK unveiled a road-map at #GES2017 on Transformational Role of Technology in #Agribusiness growth. With @NASSCOMCoEIoT @…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @adleonee: The idea of ""who I'm is illusion"" than actually ""who I'm"" #ThursdayThoughts  #Leadership #GES2017 #fitness #fitnessmotivation…"
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
CM KCR Speech @ Global Entrepreneurship Summit | #GES2017 | TV5 News https://t.co/n1S3kbtMqp https://t.co/9t9Fa2MWuW
CM KCR Speech @ Global Entrepreneurship Summit | #GES2017 | TV5 News https://t.co/o4q7Mgb7wZ https://t.co/6iBYDIRjkN
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
"RT @NITIAayog: At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t…"
"At #GES2017, entrepreneurs from different parts of the globe shared their experiences which were relevant for all! https://t.co/3r0qRLWcUr"
"RT @VinavB: ""If I Knew Then What I Know Now”
#Entrepreneur #learnfromtheoneswhoknow #investartindia #ges2017 #StartupIndia #investors #star…"
"RT @mukesh_das3: #GES2017
#अंधश्रद्धाभक्ति_खतरा_ए_जान
According to kuran sharif- surat furkani no.25 ayat no. 52 to 59. It is written god i…"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
"#GES2017 brings together leading investors, entrepreneurs, academicians, think-tanks and other stakeholders to prop… https://t.co/OHA1J2Exu8"
I see 800 million potential entrepreneurs who can work towards making the world a better place: PM Modi at #GES2017… https://t.co/JkCYufWbpf
"In India, we have constitutionally provided for not less than one third of women representation in rural and urban… https://t.co/D4noT5DRIl"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @NITIAayog: NITI Aayog CEO @amitabhk87 &amp; @USAmbIndia Kenneth Juster at the #GES2017 Virtual Exhibition. The artwork showcases entreprene…
"#GES2017 brings together leading investors, entrepreneurs, academicians, think-tanks and other stakeholders to prop… https://t.co/xAP0iFlB1u"
"In Indian mythology, woman is an incarnation of Shakti - the Goddess of power. We believe women empowerment is cruc… https://t.co/Jame5TNzbr"
"#GES2017: Indian women continue to lead in different walks of life. Our space programmes, including the Mars Orbite… https://t.co/P0aYZvAaw3"
"In India, we have constitutionally provided for not less than one third of women representation in rural and urban… https://t.co/fzzvm8JxJK"
I see 800 million potential entrepreneurs who can work towards making the world a better place: PM Modi at #GES2017… https://t.co/GoilmRi0Pq
Our Start-Up India programme is a comprehensive action plan to foster entrepreneurship and promote innovation. It a… https://t.co/YXuN5ejgnI
We have launched the MUDRA scheme to provide easy finance of upto one million rupees to entrepreneurs; more than 70… https://t.co/x9ewXCKIVp
"A historic overhaul of the taxation system has been recently undertaken, bringing in the Goods and Services Tax acr… https://t.co/KKb6visZ99"
"To my entrepreneur friends from across the globe, I would like to say: Come, Make in India, Invest in India - for I… https://t.co/BgVxj2JbOu"
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
RT @amitabhk87: Glimpses of the most spectacular GES ever - #GES2017! Thanks to @PMOIndia for driving &amp; guiding the entrepreneurial movemen…
